,Unnamed: 0,$distance,address,address_extended,category_ids,category_labels,country,email,factual_id,fax,hours,hours_display,latitude,locality,longitude,name,neighborhood,po_box,postcode,region,tel,website
0,0,3692.603,2042 S Halsted St,,[7],"[[Automotive, Car Wash and Detail]]",us,,63d0e5df-9093-4e69-b163-78b270430475,,"{u'monday': [[u'8:00', u'20:00']], u'tuesday': [[u'8:00', u'20:00']], u'friday': [[u'8:00', u'20:00']], u'wednesday': [[u'8:00', u'20:00']], u'thursday': [[u'8:00', u'20:00']], u'sunday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'20:00']]}",Mon-Sat 8:00 AM-8:00 PM; Sun 8:00 AM-6:00 PM,41.854074,Chicago,-87.646595,We Wash,"[Chinatown, West and Near West Side, South Branch Addition]",,60608,IL,(312) 421-7770,http://www.wewashdetailcenter.com/
1,1,5257.663,318 S Morgan St,,[9],"[[Automotive, Maintenance and Repair]]",us,wendy@achildschoicemontessori.com,12755649-4b70-4fe0-84bc-fdaba196cd6b,(251) 943-2551,"{u'monday': [[u'7:00', u'19:00']], u'tuesday': [[u'7:00', u'19:00']], u'friday': [[u'7:00', u'19:00']], u'wednesday': [[u'7:00', u'19:00']], u'thursday': [[u'7:00', u'19:00']], u'saturday': [[u'9:00', u'15:00']]}",Mon-Fri 7:00 AM-7:00 PM; Sat 9:00 AM-3:00 PM,41.877425,Chicago,-87.652035,West Loop Auto Body,"[Near West Side, West Loop, Greektown]",,60607,IL,(312) 738-1975,http://www.chicagocollision.com/
2,2,6367.9155,1314 W Grand Ave,,[9],"[[Automotive, Maintenance and Repair]]",us,grandcarx@yahoo.com,02691d38-be65-4cf7-ba28-944a36752cd6,(312) 243-3648,"{u'monday': [[u'7:30', u'18:00']], u'tuesday': [[u'7:30', u'18:00']], u'friday': [[u'7:30', u'18:00']], u'wednesday': [[u'7:30', u'18:00']], u'thursday': [[u'7:30', u'18:00']], u'saturday': [[u'8:00', u'15:00']]}",Mon-Fri 7:30 AM-6:00 PM; Sat 8:00 AM-3:00 PM,41.891025,Chicago,-87.659609,Car-X Auto Service,"[West and Near West Side, West Town, West Loop]",,60642,IL,(312) 243-3111,http://www.carx.com/
3,3,7204.58,160 N Wabash Ave,,[4],"[[Automotive, Car Dealers and Leasing]]",us,,359cd6b7-6356-47d7-bd0c-66eed60c6c50,,"{u'monday': [[u'9:00', u'18:00']], u'tuesday': [[u'9:00', u'18:00']], u'friday': [[u'9:00', u'18:00']], u'wednesday': [[u'9:00', u'18:00']], u'thursday': [[u'9:00', u'18:00']], u'saturday': [[u'10:00', u'15:00']]}",Mon-Fri 9:00 AM-6:00 PM; Sat 10:00 AM-3:00 PM,41.884876,Chicago,-87.626275,Zipcar,"[Fort Dearborn Addition, Loop, New Eastside]",,60601,IL,(312) 589-6300,http://www.zipcar.com
4,4,998.3913,3610 S Archer Ave,,[5],"[[Automotive, Car Dealers and Leasing, Used Cars]]",us,james@autosrusbodyshop.com,12e5ba70-2ada-454a-939d-129ad6b04b7d,(808) 871-8111,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'9:00', u'12:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 9:00 AM-12:00 PM,41.828204,Chicago,-87.681779,Auto's R Us,"[South West Side, Ducktown]",,60609,IL,(773) 847-5300,http://www.autosrusbodyshop.com
5,5,5931.929,850 W Washington Blvd,,[7],"[[Automotive, Car Wash and Detail]]",us,,77a1e4c0-1e18-012f-0643-0030487f54d8,,"{u'monday': [[u'8:00', u'20:00']], u'tuesday': [[u'8:00', u'20:00']], u'friday': [[u'8:00', u'20:00']], u'wednesday': [[u'8:00', u'20:00']], u'thursday': [[u'8:00', u'20:00']], u'sunday': [[u'8:00', u'16:00']], u'saturday': [[u'8:00', u'20:00']]}",Mon-Sat 8:00 AM-8:00 PM; Sun 8:00 AM-4:00 PM,41.88335,Chicago,-87.649515,West Loop Auto Spa,"[Fulton Market, Carpenters Addition, Near West Side]",,60607,IL,(312) 492-9274,http://www.westloopautospa.com
6,6,5383.522,1701 S State St,,[7],"[[Automotive, Car Wash and Detail]]",us,,152ff250-e4d3-012e-be33-002590044574,(918) 665-6077,"{u'monday': [[u'7:00', u'19:00']], u'tuesday': [[u'7:00', u'19:00']], u'friday': [[u'7:00', u'19:00']], u'wednesday': [[u'7:00', u'19:00']], u'thursday': [[u'7:00', u'19:00']], u'sunday': [[u'8:00', u'18:00']], u'saturday': [[u'7:00', u'19:00']]}",Mon-Sat 7:00 AM-7:00 PM; Sun 8:00 AM-6:00 PM,41.858987,Chicago,-87.626913,State Street Hand Car Wash,"[Near South Side, South Loop, Film Row]",,60616,IL,(312) 341-0200,
7,7,7107.1016,1700 W Augusta Blvd,,"[10, 12, 13]","[[Automotive, Maintenance and Repair, Oil and Lube], [Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Transmissions]]",us,augusta.paulina.auto@gmail.com,ecfba33a-29ee-4de2-879f-936ee9a1bb59,,"{u'monday': [[u'8:00', u'18:00']], u'tuesday': [[u'8:00', u'18:00']], u'friday': [[u'8:00', u'18:00']], u'wednesday': [[u'8:00', u'18:00']], u'thursday': [[u'8:00', u'18:00']], u'saturday': [[u'8:00', u'14:00']]}",Mon-Fri 8:00 AM-6:00 PM; Sat 8:00 AM-2:00 PM,41.899864,Chicago,-87.669959,Augusta & Paulina Service Station,"[West and Near West Side, Goose Island, West Town]",,60622,IL,(773) 486-9768,http://www.aandpautorepair.com
8,8,6822.1104,344 N Canal St,,"[12, 10]","[[Automotive, Maintenance and Repair, Tires], [Automotive, Maintenance and Repair, Oil and Lube]]",us,tireinfo@cassidytire.com,25176842-b2bc-4851-bd11-8d19875be836,,"{u'monday': [[u'6:30', u'17:00']], u'tuesday': [[u'6:30', u'17:00']], u'friday': [[u'6:30', u'17:00']], u'wednesday': [[u'6:30', u'17:00']], u'thursday': [[u'6:30', u'17:00']], u'saturday': [[u'6:30', u'12:00']]}",Mon-Fri 6:30 AM-5:00 PM; Sat 6:30 AM-12:00 PM,41.88849,Chicago,-87.640156,Cassidy Tire & Service,"[Loop, River North, West Loop]",,60606,IL,(312) 681-5466,http://www.cassidytire.com
9,9,1320.4482,3200 S Archer Ave,,[6],"[[Automotive, Car Parts and Accessories]]",us,sales@candjautoparts.com,4794879f-5458-4527-8d97-d80590467f3d,,"{u'monday': [[u'8:00', u'17:00']], u'tuesday': [[u'8:00', u'17:00']], u'friday': [[u'8:00', u'17:00']], u'wednesday': [[u'8:00', u'17:00']], u'thursday': [[u'8:00', u'17:00']], u'saturday': [[u'8:00', u'16:00']]}",Mon-Fri 8:00 AM-5:00 PM; Sat 8:00 AM-4:00 PM,41.836194,Chicago,-87.668843,C & J Auto Parts,"[Mount Pleasant, South West Side]",,60608,IL,(773) 523-8121,http://www.candjautoparts.com/
10,10,7604.42,356 W Superior St,,[7],"[[Automotive, Car Wash and Detail]]",us,,005edcdd-a64e-4062-9007-d34e779a3a7f,(662) 335-8852,"{u'monday': [[u'7:30', u'19:00']], u'tuesday': [[u'7:30', u'19:00']], u'friday': [[u'7:30', u'19:00']], u'wednesday': [[u'7:30', u'19:00']], u'thursday': [[u'7:30', u'19:00']], u'sunday': [[u'9:00', u'17:00']], u'saturday': [[u'8:00', u'18:00']]}",Mon-Fri 7:30 AM-7:00 PM; Sat 8:00 AM-6:00 PM; Sun 9:00 AM-5:00 PM,41.895757,Chicago,-87.637978,River North Hand Car Wash,"[Little Hell, Swede Town, Near North Side]",,60654,IL,(312) 335-9669,http://www.rivernorthhandcarwash.com
