,Unnamed: 0,$distance,address,address_extended,category_ids,category_labels,country,email,factual_id,fax,hours,hours_display,latitude,locality,longitude,name,neighborhood,po_box,postcode,region,tel,website,date,userParams,searchparams
0,0,5309.5845,318 W Cermak Rd,,"[107, 164]","[[Landmarks], [Retail, Nurseries and Garden Centers]]",us,info@chicago-chinatown.com,0482bf8a-4aff-4fd9-80f6-de6b8276f942,,"{u'monday': [[u'17:00', u'21:00']], u'tuesday': [[u'17:00', u'21:00']], u'friday': [[u'17:00', u'21:00']], u'wednesday': [[u'17:00', u'21:00']], u'thursday': [[u'17:00', u'21:00']], u'sunday': [[u'17:00', u'21:00']], u'saturday': [[u'17:00', u'21:00']]}",Open Daily 5:00 PM-9:00 PM,41.853142,Chicago,-87.634322,Chinatown,"[Armour Square, South Side, Chinatown]",,60616,IL,(312) 326-5320,http://www.chicago-chinatown.com/index.html,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
1,1,4945.7524,2526 W Cermak Rd,,[171],"[[Retail, Supermarkets and Groceries]]",us,hr@petesfresh.com,46999fd0-e2fa-4105-88d2-6eaed73e2f4d,,"{u'monday': [[u'7:00', u'22:00']], u'tuesday': [[u'7:00', u'22:00']], u'friday': [[u'7:00', u'22:00']], u'wednesday': [[u'7:00', u'22:00']], u'thursday': [[u'7:00', u'22:00']], u'sunday': [[u'7:00', u'22:00']], u'saturday': [[u'7:00', u'22:00']]}",Open Daily 7:00 AM-10:00 PM,41.852582,Chicago,-87.689835,Pete's Fresh Market,"[Bohemian California, North Lawndale, West and Near West Side]",,60608,IL,(773) 254-8400,http://www.petesfresh.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
2,2,6671.381,1526 E 55th St,Ste 1,[171],"[[Retail, Supermarkets and Groceries]]",us,hydepark@tifoods.com,c39bde92-bfdb-46fb-a6bf-6903f257f8f1,(773) 358-6702,"{u'monday': [[u'7:00', u'22:00']], u'tuesday': [[u'7:00', u'22:00']], u'friday': [[u'7:00', u'22:00']], u'wednesday': [[u'7:00', u'22:00']], u'thursday': [[u'7:00', u'22:00']], u'sunday': [[u'8:00', u'21:00']], u'saturday': [[u'7:00', u'22:00']]}",Mon-Sat 7:00 AM-10:00 PM; Sun 8:00 AM-9:00 PM,41.79591,Chicago,-87.588589,Treasure Island Foods,"[Hyde Park, Jackson Park Terrace, South Side]",,60615,IL,(773) 358-6400,http://tifoods.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
3,3,6556.714,1132 S Jefferson St,,[150],"[[Retail, Food and Beverage, Beer, Wine and Spirits]]",us,wid@binnys.com,080fa934-cda0-4ac8-b999-99fc9e58bb7f,,"{u'monday': [[u'9:00', u'21:00']], u'tuesday': [[u'9:00', u'21:00']], u'friday': [[u'9:00', u'21:00']], u'wednesday': [[u'9:00', u'21:00']], u'thursday': [[u'9:00', u'21:00']], u'sunday': [[u'11:00', u'18:00']], u'saturday': [[u'9:00', u'21:00']]}",Mon-Sat 9:00 AM-9:00 PM; Sun 11:00 AM-6:00 PM,41.867986,Chicago,-87.642509,Binny's Beverage Depot,"[West and Near West Side, Conleys Patch, Near West Side]",,60607,IL,(312) 768-4400,http://www.binnys.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
4,4,4767.9062,4343 S Pulaski Rd,,[171],"[[Retail, Supermarkets and Groceries]]",us,customerservice@petesfresh.com,4029a4f2-797a-4674-a318-986f71fd2e4c,,"{u'monday': [[u'7:00', u'22:00']], u'tuesday': [[u'7:00', u'22:00']], u'friday': [[u'7:00', u'22:00']], u'wednesday': [[u'7:00', u'22:00']], u'thursday': [[u'7:00', u'22:00']], u'sunday': [[u'7:00', u'22:00']], u'saturday': [[u'7:00', u'22:00']]}",Open Daily 7:00 AM-10:00 PM,41.814049,Chicago,-87.723673,Pete's Fresh Market,"[Archer Heights, South West Side]",,60632,IL,(773) 927-4300,http://www.petesfresh.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
5,5,5123.7324,1425 W 18th St,,[143],"[[Retail, Fashion, Clothing and Accessories]]",us,,150a28c7-4f6a-4cd1-9410-d1ed605dc985,,"{u'monday': [[u'12:00', u'19:00']], u'tuesday': [[u'12:00', u'19:00']], u'friday': [[u'11:00', u'20:00']], u'wednesday': [[u'12:00', u'19:00']], u'thursday': [[u'12:00', u'19:00']], u'sunday': [[u'12:00', u'18:00']], u'saturday': [[u'11:00', u'20:00']]}",Mon-Thu 12:00 PM-7:00 PM; Fri-Sat 11:00 AM-8:00 PM; Sun 12:00 PM-6:00 PM,41.85772,Chicago,-87.66239,Knee Deep,"[Pilsen, West and Near West Side]",,60608,IL,(312) 850-2510,http://www.kneedeepvintage.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
6,6,6981.511,1224 S Wabash Ave,,"[171, 80]","[[Retail, Supermarkets and Groceries], [Healthcare, Pharmacies]]",us,,03a69511-bf7e-4bae-b4ba-aefe51f42a03,(312) 733-7431,"{u'monday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'tuesday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'friday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'wednesday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'thursday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'sunday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']], u'saturday': [[u'00:00', u'1:00'], [u'5:00', u'23:59']]}","Open Daily 12:00 AM-1:00 AM, 5:00 AM-11:59 PM",41.866917,Chicago,-87.626038,Jewel-Osco,"[Harbor Square, Park Row, Near South Side]",,60605,IL,(312) 663-0580,http://www.jewelosco.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
7,7,3225.8345,4700 S Kedzie Ave,,[171],"[[Retail, Supermarkets and Groceries]]",us,hr@petesfresh.com,8b38d079-75cb-40f0-97ec-4d403a04d860,,"{u'monday': [[u'7:00', u'22:00']], u'tuesday': [[u'7:00', u'22:00']], u'friday': [[u'7:00', u'22:00']], u'wednesday': [[u'7:00', u'22:00']], u'thursday': [[u'7:00', u'22:00']], u'sunday': [[u'7:00', u'22:00']], u'saturday': [[u'7:00', u'22:00']]}",Open Daily 7:00 AM-10:00 PM,41.807418,Chicago,-87.704716,Pete's Fresh Market,"[Glendale, South West Side]",,60632,IL,(773) 523-4600,http://www.petesfresh.com/,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
8,8,5067.2397,1810 S Blue Island Ave,,[171],"[[Retail, Supermarkets and Groceries]]",us,info@lacasadelpueblo.com,1ca83279-b870-4e61-9615-f0bb3c362900,(319) 324-5236,"{u'monday': [[u'7:00', u'21:00']], u'tuesday': [[u'7:00', u'21:00']], u'friday': [[u'7:00', u'21:00']], u'wednesday': [[u'7:00', u'21:00']], u'thursday': [[u'7:00', u'21:00']], u'sunday': [[u'7:00', u'21:00']], u'saturday': [[u'7:00', u'21:00']]}",Open Daily 7:00 AM-9:00 PM,41.857182,Chicago,-87.661815,La Casa Del Pueblo,"[Pilsen, West and Near West Side]",,60608,IL,(312) 421-4640,http://www.lacasadelpueblo.com,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
9,9,4278.323,2434 S Western Ave,,[170],"[[Retail, Sporting Goods]]",us,info@workingbikes.org,e5df7e02-1719-4d88-80d4-b823d2e5aaf9,,"{u'friday': [[u'12:00', u'23:59']], u'wednesday': [[u'12:00', u'23:59']], u'thursday': [[u'12:00', u'23:59']], u'saturday': [[u'12:00', u'23:59']]}",Wed-Sat 12:00 PM-11:59 PM,41.847299,Chicago,-87.685916,Working Bikes Cooperative,"[Bohemian California, West and Near West Side]",,60608,IL,(773) 847-5440,http://www.workingbikes.org,2016-06-27 21:52:43.408944,"{""status"": ""OK"", ""main"": 123, ""sub"": [], ""user"": ""Jinno""}","{'userParams': ""{'status': 'OK', 'main': 2, 'sub': [], 'user': 'default'}"", 'limit': 50, 'filters': {'$and': [{'category_ids': {'$includes_any': [123]}}, {'chain_id': {'$blank': True}}]}, 'offset': 50, 'date': '2016-06-27 21:52:42.807055', 'geo': {'$circle': {'$center': [42.03831, -88.290742], '$meters': 25000}}}"
